celltype_1,celltype_2,,,,
NPF_like,pnCAFs,,,,NPF_like
NPF_like,uniCAFs,,,,
NPF_like,whCAFs,,,,
NPF_like,CAFs_IFN,,,,uniCAFs
NPF_like,SMC_like,,,,
NPF_like,pSMCs,,,,
NPF_like,Pericytes,,,,
NPF_like,vSMCs,,,,
NPF_like,SMCs_IFN,,,,
NPF_like,Basal,,,,
NPF_like,Cycling_Epi_Basal,,,,
NPF_like,Club,,,,
NPF_like,Cycling_Epi_Club,,,,
NPF_like,Luminal_IFN,,,,
NPF_like,Luminal_like,,,,
NPF_like,Luminal,,,,
NPF_like,Cycling_Epi_Luminal,,,,
NPF_like,Ciliated,,,,pnCAFs
NPF_like,NE,,,,uniCAFs
NPF_like,Unassigned,,,,whCAFs
NPF_like,Glial_SOX10,,,,uniCAFs
NPF_like,Glial_SOX10low,,,,pnCAFs
NPF_like,Glial_MPZlow,,,,
NPF_like,Myelinating_Schwann,,,,vSMCs
NPF_like,Satellite,,,,uniCAFs
NPF_like,CD4_T.cells,,,,vSMCs
NPF_like,CD4_Tregs,,,,
NPF_like,CD8_cytotoxic,,,,
NPF_like,CD8_Trm,,,,
NPF_like,Cycling_T.cells,,,,
NPF_like,NK_cells,,,,
NPF_like,NK_like_T.cells,,,,
NPF_like,T.cells,,,,
NPF_like,T.cells_IFN,,,,
NPF_like,T.cells_unassigned,,,,pnCAFs
NPF_like,Memory_B.cells,,,,
NPF_like,Plasmablasts,,,,pnCAFs
NPF_like,cDC1,,,,Luminal
NPF_like,cDC2,,,,whCAFs
NPF_like,pDC,,,,pnCAFs
NPF_like,mDC_regs,,,,Luminal
NPF_like,Monocytes,,,,Luminal
NPF_like,Macrophages,,,,pnCAFs
NPF_like,Mast_cells,,,,
NPF_like,Cycling_Myeloid,,,,whCAFs
NPF_like,ECs_Arterial,,,,vSMCs
NPF_like,ECs_Lymphatic,,,,pnCAFs
NPF_like,ECs_Venous_s1,,,,Pericytes
NPF_like,ECs_Venous_s2,,,,NPF_like
NPF_like,ECs_SMC_like,,,,whCAFs
NPF_like,ECs_IFN,,,,whCAFs
pnCAFs,uniCAFs,,,,
pnCAFs,whCAFs,,,,pnCAFs
pnCAFs,CAFs_IFN,,,,uniCAFs
pnCAFs,SMC_like,,,,Luminal
pnCAFs,pSMCs,,,,Pericytes
pnCAFs,Pericytes,,,,vSMCs
pnCAFs,vSMCs,,,,whCAFs
pnCAFs,SMCs_IFN,,,,uniCAFs
pnCAFs,Basal,,,,pnCAFs
pnCAFs,Cycling_Epi_Basal,,,,NPF_like
pnCAFs,Club,,,,pnCAFs
pnCAFs,Cycling_Epi_Club,,,,vSMCs
pnCAFs,Luminal_IFN,,,,Luminal
pnCAFs,Luminal_like,,,,Luminal
pnCAFs,Luminal,,,,whCAFs
pnCAFs,Cycling_Epi_Luminal,,,,Pericytes
pnCAFs,Ciliated,,,,Pericytes
pnCAFs,NE,,,,pnCAFs
pnCAFs,Unassigned,,,,uniCAFs
pnCAFs,Glial_SOX10,,,,uniCAFs
pnCAFs,Glial_SOX10low,,,,whCAFs
pnCAFs,Glial_MPZlow,,,,whCAFs
pnCAFs,Myelinating_Schwann,,,,
pnCAFs,Satellite,,,,
pnCAFs,CD4_T.cells,,,,
pnCAFs,CD4_Tregs,,,,
pnCAFs,CD8_cytotoxic,,,,
pnCAFs,CD8_Trm,,,,
pnCAFs,Cycling_T.cells,,,,
pnCAFs,NK_cells,,,,
pnCAFs,NK_like_T.cells,,,,
pnCAFs,T.cells,,,,
pnCAFs,T.cells_IFN,,,,
pnCAFs,T.cells_unassigned,,,,
pnCAFs,Memory_B.cells,,,,
pnCAFs,Plasmablasts,,,,
pnCAFs,cDC1,,,,
pnCAFs,cDC2,,,,
pnCAFs,pDC,,,,
pnCAFs,mDC_regs,,,,
pnCAFs,Monocytes,,,,
pnCAFs,Macrophages,,,,
pnCAFs,Mast_cells,,,,
pnCAFs,Cycling_Myeloid,,,,
pnCAFs,ECs_Arterial,,,,
pnCAFs,ECs_Lymphatic,,,,
pnCAFs,ECs_Venous_s1,,,,
pnCAFs,ECs_Venous_s2,,,,
pnCAFs,ECs_SMC_like,,,,
pnCAFs,ECs_IFN,,,,
uniCAFs,whCAFs,,,,
