lineage_1,lineage_2,celltype_1,celltype_2
CAFs,CAFs,NPF_like,whCAFs
CAFs,CAFs,NPF_like,uniCAFs
CAFs,PNS_glial,NPF_like,Glial_cells_1
CAFs,PNS_glial,NPF_like,Glial_cells_2
CAFs,PNS_glial,NPF_like,Glial_cells_3
CAFs,PNS_glial,NPF_like,Satellite_cells
CAFs,PNS_glial,NPF_like,Myelinating_Schwann
CAFs,CAFs,whCAFs,uniCAFs
CAFs,PNS_glial,whCAFs,Glial_cells_1
CAFs,PNS_glial,whCAFs,Glial_cells_2
CAFs,PNS_glial,whCAFs,Glial_cells_3
CAFs,PNS_glial,whCAFs,Satellite_cells
CAFs,PNS_glial,whCAFs,Myelinating_Schwann
CAFs,CAFs,pnCAFs,NPF_like
CAFs,CAFs,pnCAFs,whCAFs
CAFs,CAFs,pnCAFs,uniCAFs
CAFs,PNS_glial,pnCAFs,Glial_cells_1
CAFs,PNS_glial,pnCAFs,Glial_cells_2
CAFs,PNS_glial,pnCAFs,Glial_cells_3
CAFs,PNS_glial,pnCAFs,Satellite_cells
CAFs,PNS_glial,pnCAFs,Myelinating_Schwann
CAFs,PNS_glial,uniCAFs,Glial_cells_1
CAFs,PNS_glial,uniCAFs,Glial_cells_2
CAFs,PNS_glial,uniCAFs,Glial_cells_3
CAFs,PNS_glial,uniCAFs,Satellite_cells
CAFs,PNS_glial,uniCAFs,Myelinating_Schwann
CAFs,SMCs,NPF_like,pSMCs
CAFs,SMCs,whCAFs,pSMCs
CAFs,SMCs,whCAFs,vSMCs
CAFs,SMCs,whCAFs,Pericytes
CAFs,SMCs,uniCAFs,pSMCs
CAFs,SMCs,uniCAFs,vSMCs
CAFs,SMCs,uniCAFs,Pericytes
CAFs,SMCs,pnCAFs,pSMCs
CAFs,SMCs,pnCAFs,vSMCs
CAFs,SMCs,pnCAFs,Pericytes
Epithelial,CAFs,Luminal,NPF_like
Epithelial,CAFs,Luminal,whCAFs
Epithelial,CAFs,Luminal,uniCAFs
Epithelial,CAFs,Luminal,pnCAFs
Epithelial,Epithelial,Luminal,NE
Epithelial,Cycling,Luminal,Cycling_Epi_Luminal
Epithelial,CAFs,Basal,NPF_like
Epithelial,CAFs,Basal,whCAFs
Epithelial,CAFs,Basal,uniCAFs
Epithelial,CAFs,Basal,pnCAFs
Epithelial,Epithelial,Basal,NE
Epithelial,Cycling,Basal,Cycling_Epi_Luminal
Epithelial,CAFs,Club,NPF_like
Epithelial,CAFs,Club,whCAFs
Epithelial,CAFs,Club,uniCAFs
Epithelial,CAFs,Club,pnCAFs
Epithelial,Epithelial,Club,NE
Epithelial,Cycling,Club,Cycling_Epi_Luminal
SMCs,Endothelial,Pericytes,ECs_Venous_s1
SMCs,Endothelial,vSMCs,ECs_Venous_s1
SMCs,Endothelial,Pericytes,ECs_Venous_s2
SMCs,Endothelial,vSMCs,ECs_Venous_s2
SMCs,Endothelial,Pericytes,ECs_Lymphatic
SMCs,Endothelial,vSMCs,ECs_Lymphatic
SMCs,Endothelial,Pericytes,ECs_Arterial
SMCs,Endothelial,vSMCs,ECs_Arterial
SMCs,SMCs,vSMCs,Pericytes
