celltype_1,celltype_2
NPF_like,whCAFs
NPF_like,uniCAFs
NPF_like,pSMCs
whCAFs,uniCAFs
whCAFs,Glial_SOX10
whCAFs,Glial_SOX10low
whCAFs,Glial_MPZlow
whCAFs,Myelinating_Schwann
pnCAFs,NPF_like
pnCAFs,whCAFs
pnCAFs,uniCAFs
pnCAFs,Glial_SOX10
pnCAFs,Glial_SOX10low
pnCAFs,Glial_MPZlow
pnCAFs,Myelinating_Schwann
uniCAFs,Glial_SOX10
uniCAFs,Glial_SOX10low
uniCAFs,Glial_MPZlow
uniCAFs,Myelinating_Schwann
whCAFs,pSMCs
whCAFs,vSMCs
whCAFs,Pericytes
uniCAFs,pSMCs
uniCAFs,vSMCs
uniCAFs,Pericytes
pnCAFs,pSMCs
pnCAFs,vSMCs
pnCAFs,Pericytes
Luminal_normal,NPF_like
Luminal_normal,whCAFs
Luminal_normal,uniCAFs
Luminal_normal,pnCAFs
Luminal_normal,NE
Luminal_normal,Cycling_Epi_Luminal
Luminal_AB,NPF_like
Luminal_AB,whCAFs
Luminal_AB,uniCAFs
Luminal_AB,pnCAFs
Luminal_AB,NE
Luminal_AB,Cycling_Epi_Luminal
Luminal_malignant,NPF_like
Luminal_malignant,whCAFs
Luminal_malignant,uniCAFs
Luminal_malignant,pnCAFs
Luminal_malignant,NE
Luminal_malignant,Cycling_Epi_Luminal
vSMCs,Pericytes
Pericytes,ECs_Venous_s1
vSMCs,ECs_Venous_s1
Pericytes,ECs_Venous_s2
vSMCs,ECs_Venous_s2
Pericytes,ECs_Lymphatic
vSMCs,ECs_Lymphatic
Pericytes,ECs_Arterial
vSMCs,ECs_Arterial
ECs_Venous_s1,ECs_Venous_s2
ECs_Venous_s1,ECs_Arterial
ECs_Venous_s2,ECs_Arterial
